TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,WEEK_DAY,DAY_BUSY,DAY_HOUR,MISSING_DATA,DRIVE_DIST,TRIP_DIST,TRIP_TIME,LON_START,LAT_START,LON_02,LAT_02,LON_05,LAT_05,LON_10,LAT_10,LON_FINISH,LAT_FINISH
1372636858620000589,C,,,20000589,1372636858,A,6,WE,24.016,False,2651,1777,5.50,-8.618643,41.141412,-8.632746,41.146920,-8.630829,41.154516,,,-8.630838,41.154489
1372669343620000608,B,,28,20000608,1372669343,A,0,WE,9.040,False,9609,4747,13.25,-8.584335,41.163156,-8.587737,41.168007,-8.624115,41.173308,-8.634744,41.150961,-8.638497,41.150511
1372679115620000314,B,,51,20000314,1372679115,A,0,WE,11.754,False,2104,1225,5.75,-8.620992,41.160897,-8.616573,41.162472,-8.609922,41.154156,,,-8.609058,41.154516
1372691893620000104,B,,61,20000104,1372691893,A,0,WE,15.304,False,2718,1521,8.25,-8.599293,41.149197,-8.597268,41.153679,-8.604873,41.154354,,,-8.609733,41.160393
1372703493620000525,B,,34,20000525,1372703493,A,0,WE,18.526,False,10419,8330,20.00,-8.615529,41.140719,-8.621775,41.143671,-8.639613,41.148459,-8.675586,41.149467,-8.696295,41.184477
1372710017620000595,B,,36,20000595,1372710017,A,0,WE,20.338,False,4940,3430,11.25,-8.649369,41.154327,-8.640702,41.153571,-8.632764,41.147208,-8.611353,41.140602,-8.612802,41.140431
1372759873620000664,B,,12,20000664,1372759873,A,1,WD,10.187,False,12033,5374,10.75,-8.630595,41.154768,-8.639883,41.151321,-8.627598,41.174973,-8.682093,41.182884,-8.681328,41.184387
1372769246620000680,C,,,20000680,1372769246,A,1,WD,12.791,False,10888,5936,17.50,-8.610858,41.145597,-8.609346,41.147532,-8.609202,41.157738,-8.638587,41.169906,-8.668782,41.176386
1372782915620000349,B,,17,20000349,1372782915,A,1,WD,16.587,False,9399,7445,11.50,-8.632332,41.164434,-8.640108,41.165541,-8.671572,41.189166,-8.706159,41.192505,-8.709723,41.197446
1372810075620000042,B,,52,20000042,1372810075,A,1,WD,24.132,False,5344,2901,8.75,-8.613216,41.154444,-8.616150,41.155767,-8.629830,41.155767,,,-8.644059,41.142564
